fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2016-17,CE20E101/SF1-83,13,ब,13,5000000.0,5000000.0,प्रभाग क्र. १३ ब मधील संगमवाडी मध्ये पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-84,13,ब,13,3000000.0,3000000.0,प्रभाग क्र. १३ ब मध्ये नरवीर तानाजी वाडी येथे पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-101,1,अ,,1000000.0,1000000.0,"प्रभाग क्र.1 अ,कळस धानोरी मध्ये विविध ठिकाणी पावसाळी लाईन दुरुस्ती करणे व साफसफाई करणे."
2017-18,CE20E101/SF1-102,1,ड,,1000000.0,1000000.0,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील मुंजाबावस्ती परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-103,1,ड,,1000000.0,1000000.0,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील भैरवनगर परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-104,1,ड,,1000000.0,1000000.0,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील धानोरी परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-105,1,ड,,1000000.0,1000000.0,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील विश्रांतवाडी परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-106,1,ड,,1000000.0,1000000.0,प्रभाग क्र. 1 ड (कळस-धानोरी) मधील कळस परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-107,1,ड,,1000000.0,1000000.0,प्रभाग क्र. 1 ड (कळस-धानोरी) मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-108,2,ब,,1000000.0,1000000.0,"प्रभाग क्र.2 ब मधील चंद्रमानगरर,पंचशिलनगर,हिरामण मोझे नगर, इंदिरानगर येथील पावसाळी लाईन दुरुस्ती व साफसफाई करणे"
2017-18,CE20E101/SF1-109,3,क,,1000000.0,1000000.0,प्रभाग क्र.3 क विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-110,5,अ,,1000000.0,1000000.0,प्रभाग क्र 5 अ मधील वाडेश्वर नगर गल्ली नं.3 जॉन फर्नाडीस यांचे घरापासून ते जुना मुंढवा रस्त्यापर्यत पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-111,5,क,,2000000.0,2000000.0,प्रभाग क्र 5 क आनंदपार्क बस स्टॉप ते जुना मुंढवा रस्ता व विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-112,5,ड,,1000000.0,1000000.0,प्रभाग क्र 5 ड आनंदपार्क बस स्टॉप ते जुना मुंढवा रस्ता पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-113,6,क,,1000000.0,1000000.0,प्रभाग क्र 6 क मधील क्रांतीवीर लहूजी वस्ताद सभागृह ते लक्ष्मीनगर पोलीस चौकी पर्यत पावसाळी लाईन बदलणे
2017-18,CE20E101/SF1-114,7,ब,,1000000.0,1000000.0,प्रभाग क्र.7 ब मध्ये सकाळनगर व बाणेर रोड परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-115,7,ब,,1000000.0,1000000.0,प्रभाग क्र.7 ब मध्ये न.ता.वाडी परिसरात पावसाळी लाईन टाकणे.
2017-18,CE20E101/SF1-116,7,ब,,1000000.0,1000000.0,प्रभाग क्र.7 ब मध्ये पाटील इस्टेट झोपडपट्टी आणि अश्विनीनगर परिसरात पावसाळी लाईन टाकणे.
2017-18,CE20E101/SF1-117,7,क,,1000000.0,1000000.0,प्रभाग क्र.7 क मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-118,8,अ,,1000000.0,1000000.0,"प्रभाग क्र. 8 अ भाऊ पाटील चाळ, गोपी चाळ येथे पावसाळी लाईन टाकणे"
2017-18,CE20E101/SF1-119,10,अ,,1000000.0,1000000.0,प्रभाग क्र.10 अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-120,10,ब,,2000000.0,2000000.0,प्रभाग क्र.10 ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-121,10,ब,,1000000.0,1000000.0,प्रभाग क्र.10 ब मध्ये जिजाई गार्डन परिसरात पावसाळी लाईन टाकणे
2017-18,CE20E101/SF1-122,11,अ,,1000000.0,1000000.0,"प्रभाग क्र.11अ, मध्ये झोपडपट्टी परिसरात विविध ठिकाणी मोठया व्यासाच्या पावसाळी लाईन टाकणे."
2017-18,CE20E101/SF1-123,11,अ,,1000000.0,1000000.0,"प्रभाग क्र.11अ, मध्ये सोसायट्या परिसरात विविध ठिकाणी मोठया व्यासाच्या पावसाळी लाईन टाकणे."
