zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
X,Kodambakkam,NK,2022-2023,RE,5000,50.00,yes,glance2023-24.pdf,67,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XI,Valasaravakkam,NL,2022-2023,RE,0,0.00,yes,glance2023-24.pdf,69,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XII,Alandur,NM,2022-2023,RE,800,8.00,yes,glance2023-24.pdf,71,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XIII,Adyar,NN,2022-2023,RE,0,0.00,yes,glance2023-24.pdf,73,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XIV,Perungudi,NP,2022-2023,RE,0,0.00,yes,glance2023-24.pdf,75,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XV,Sholinganallur,NQ,2022-2023,RE,200,2.00,yes,glance2023-24.pdf,77,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
I,Thiruvottiyur,NA,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,49,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
II,Manali,NB,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,51,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
III,Madhavaram,NC,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,53,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
IV,Tondiarpet,ND,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,55,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
V,Royapuram,NE,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,57,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,59,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VII,Ambattur,NG,2023-2024,BE,0,0.00,no,glance2023-24.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VIII,Anna Nagar,NH,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,63,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
IX,Teynampet,NJ,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,65,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
X,Kodambakkam,NK,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,67,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XI,Valasaravakkam,NL,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,69,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XII,Alandur,NM,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,71,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XIII,Adyar,NN,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,73,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XIV,Perungudi,NP,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,75,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XV,Sholinganallur,NQ,2023-2024,BE,0,0.00,yes,glance2023-24.pdf,77,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
I,Thiruvottiyur,NA,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
II,Manali,NB,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
III,Madhavaram,NC,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
IV,Tondiarpet,ND,2022-2023,ACTUAL,1921,19.21,yes,glance2024-25.pdf,64,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
V,Royapuram,NE,2022-2023,ACTUAL,13041,130.41,yes,glance2024-25.pdf,66,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VII,Ambattur,NG,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VIII,Anna Nagar,NH,2022-2023,ACTUAL,1374,13.74,yes,glance2024-25.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
IX,Teynampet,NJ,2022-2023,ACTUAL,4808,48.08,yes,glance2024-25.pdf,74,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
X,Kodambakkam,NK,2022-2023,ACTUAL,2893,28.93,yes,glance2024-25.pdf,76,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XI,Valasaravakkam,NL,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XII,Alandur,NM,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XIII,Adyar,NN,2022-2023,ACTUAL,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XIV,Perungudi,NP,2022-2023,ACTUAL,1172,11.72,yes,glance2024-25.pdf,84,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XV,Sholinganallur,NQ,2022-2023,ACTUAL,145,1.45,yes,glance2024-25.pdf,86,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
I,Thiruvottiyur,NA,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
II,Manali,NB,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
III,Madhavaram,NC,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
IV,Tondiarpet,ND,2023-2024,RE,0,0.00,yes,glance2024-25.pdf,64,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
V,Royapuram,NE,2023-2024,RE,0,0.00,yes,glance2024-25.pdf,66,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VII,Ambattur,NG,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VIII,Anna Nagar,NH,2023-2024,RE,0,0.00,yes,glance2024-25.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
IX,Teynampet,NJ,2023-2024,RE,0,0.00,yes,glance2024-25.pdf,74,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
X,Kodambakkam,NK,2023-2024,RE,0,0.00,yes,glance2024-25.pdf,76,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XI,Valasaravakkam,NL,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XII,Alandur,NM,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XIII,Adyar,NN,2023-2024,RE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XIV,Perungudi,NP,2023-2024,RE,6000,60.00,yes,glance2024-25.pdf,84,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XV,Sholinganallur,NQ,2023-2024,RE,4670,46.70,yes,glance2024-25.pdf,86,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
I,Thiruvottiyur,NA,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
II,Manali,NB,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
III,Madhavaram,NC,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
IV,Tondiarpet,ND,2024-2025,BE,0,0.00,yes,glance2024-25.pdf,64,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
V,Royapuram,NE,2024-2025,BE,0,0.00,yes,glance2024-25.pdf,66,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VII,Ambattur,NG,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
VIII,Anna Nagar,NH,2024-2025,BE,0,0.00,yes,glance2024-25.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
IX,Teynampet,NJ,2024-2025,BE,0,0.00,yes,glance2024-25.pdf,74,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
X,Kodambakkam,NK,2024-2025,BE,0,0.00,yes,glance2024-25.pdf,76,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XI,Valasaravakkam,NL,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XII,Alandur,NM,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XIII,Adyar,NN,2024-2025,BE,0,0.00,no,glance2024-25.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XIV,Perungudi,NP,2024-2025,BE,3000,30.00,yes,glance2024-25.pdf,84,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
XV,Sholinganallur,NQ,2024-2025,BE,5000,50.00,yes,glance2024-25.pdf,86,https://chennaicorporation.gov.in/gcc/Budget_2024-2025/Glance.pdf
I,Thiruvottiyur,NA,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
II,Manali,NB,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
III,Madhavaram,NC,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
IV,Tondiarpet,ND,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
V,Royapuram,NE,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2023-2024,ACTUAL,0,0.00,yes,glance2025-26.pdf,84,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VII,Ambattur,NG,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VIII,Anna Nagar,NH,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
IX,Teynampet,NJ,2023-2024,ACTUAL,0,0.00,yes,glance2025-26.pdf,93,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
X,Kodambakkam,NK,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XI,Valasaravakkam,NL,2023-2024,ACTUAL,0,0.00,yes,glance2025-26.pdf,99,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XII,Alandur,NM,2023-2024,ACTUAL,0,0.00,yes,glance2025-26.pdf,102,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XIII,Adyar,NN,2023-2024,ACTUAL,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XIV,Perungudi,NP,2023-2024,ACTUAL,5971,59.71,yes,glance2025-26.pdf,108,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XV,Sholinganallur,NQ,2023-2024,ACTUAL,1068,10.68,yes,glance2025-26.pdf,112,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
I,Thiruvottiyur,NA,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
II,Manali,NB,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
III,Madhavaram,NC,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
IV,Tondiarpet,ND,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
V,Royapuram,NE,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2024-2025,RE,13000,130.00,yes,glance2025-26.pdf,84,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VII,Ambattur,NG,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VIII,Anna Nagar,NH,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
IX,Teynampet,NJ,2024-2025,RE,41500,415.00,yes,glance2025-26.pdf,93,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
X,Kodambakkam,NK,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XI,Valasaravakkam,NL,2024-2025,RE,20000,200.00,yes,glance2025-26.pdf,99,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XII,Alandur,NM,2024-2025,RE,25000,250.00,yes,glance2025-26.pdf,102,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XIII,Adyar,NN,2024-2025,RE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XIV,Perungudi,NP,2024-2025,RE,3000,30.00,yes,glance2025-26.pdf,108,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XV,Sholinganallur,NQ,2024-2025,RE,5000,50.00,yes,glance2025-26.pdf,112,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
I,Thiruvottiyur,NA,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
II,Manali,NB,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
III,Madhavaram,NC,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
IV,Tondiarpet,ND,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
V,Royapuram,NE,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2025-2026,BE,10000,100.00,yes,glance2025-26.pdf,84,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VII,Ambattur,NG,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
VIII,Anna Nagar,NH,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
IX,Teynampet,NJ,2025-2026,BE,10000,100.00,yes,glance2025-26.pdf,93,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
X,Kodambakkam,NK,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XI,Valasaravakkam,NL,2025-2026,BE,29000,290.00,yes,glance2025-26.pdf,99,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XII,Alandur,NM,2025-2026,BE,20000,200.00,yes,glance2025-26.pdf,102,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XIII,Adyar,NN,2025-2026,BE,0,0.00,no,glance2025-26.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XIV,Perungudi,NP,2025-2026,BE,0,0.00,yes,glance2025-26.pdf,108,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
XV,Sholinganallur,NQ,2025-2026,BE,2000,20.00,yes,glance2025-26.pdf,112,https://chennaicorporation.gov.in/gcc/Budget_2025-2026/Glance.pdf
I,Thiruvottiyur,NA,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
II,Manali,NB,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
III,Madhavaram,NC,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
IV,Tondiarpet,ND,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
V,Royapuram,NE,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2024-2025,ACTUAL,11807,118.07,yes,glance2026-27.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VII,Ambattur,NG,2024-2025,ACTUAL,0,0.00,yes,glance2026-27.pdf,75,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VIII,Anna Nagar,NH,2024-2025,ACTUAL,0,0.00,yes,glance2026-27.pdf,78,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
IX,Teynampet,NJ,2024-2025,ACTUAL,0,0.00,yes,glance2026-27.pdf,81,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
X,Kodambakkam,NK,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XI,Valasaravakkam,NL,2024-2025,ACTUAL,19564,195.64,yes,glance2026-27.pdf,88,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XII,Alandur,NM,2024-2025,ACTUAL,0,0.00,yes,glance2026-27.pdf,90,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XIII,Adyar,NN,2024-2025,ACTUAL,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XIV,Perungudi,NP,2024-2025,ACTUAL,948,9.48,yes,glance2026-27.pdf,96,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XV,Sholinganallur,NQ,2024-2025,ACTUAL,414,4.14,yes,glance2026-27.pdf,100,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
I,Thiruvottiyur,NA,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
II,Manali,NB,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
III,Madhavaram,NC,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
IV,Tondiarpet,ND,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
V,Royapuram,NE,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2025-2026,RE,20000,200.00,yes,glance2026-27.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VII,Ambattur,NG,2025-2026,RE,8000,80.00,yes,glance2026-27.pdf,75,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VIII,Anna Nagar,NH,2025-2026,RE,38785,387.85,yes,glance2026-27.pdf,78,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
IX,Teynampet,NJ,2025-2026,RE,25000,250.00,yes,glance2026-27.pdf,81,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
X,Kodambakkam,NK,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XI,Valasaravakkam,NL,2025-2026,RE,30000,300.00,yes,glance2026-27.pdf,88,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XII,Alandur,NM,2025-2026,RE,25000,250.00,yes,glance2026-27.pdf,90,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XIII,Adyar,NN,2025-2026,RE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XIV,Perungudi,NP,2025-2026,RE,0,0.00,yes,glance2026-27.pdf,96,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XV,Sholinganallur,NQ,2025-2026,RE,2000,20.00,yes,glance2026-27.pdf,100,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
I,Thiruvottiyur,NA,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
II,Manali,NB,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
III,Madhavaram,NC,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
IV,Tondiarpet,ND,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
V,Royapuram,NE,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2026-2027,BE,10000,100.00,yes,glance2026-27.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VII,Ambattur,NG,2026-2027,BE,5000,50.00,yes,glance2026-27.pdf,75,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
VIII,Anna Nagar,NH,2026-2027,BE,5000,50.00,yes,glance2026-27.pdf,78,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
IX,Teynampet,NJ,2026-2027,BE,20000,200.00,yes,glance2026-27.pdf,81,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
X,Kodambakkam,NK,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XI,Valasaravakkam,NL,2026-2027,BE,30000,300.00,yes,glance2026-27.pdf,88,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XII,Alandur,NM,2026-2027,BE,25000,250.00,yes,glance2026-27.pdf,90,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XIII,Adyar,NN,2026-2027,BE,0,0.00,no,glance2026-27.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XIV,Perungudi,NP,2026-2027,BE,0,0.00,yes,glance2026-27.pdf,96,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
XV,Sholinganallur,NQ,2026-2027,BE,5000,50.00,yes,glance2026-27.pdf,100,https://chennaicorporation.gov.in/gcc/Budget_2026-2027/Glance.pdf
