zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
VIII,Anna Nagar,NH,2013-2014,RE,50000,500.00,yes,bb2014-15.pdf,54,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
IX,Teynampet,NJ,2013-2014,RE,20000,200.00,yes,bb2014-15.pdf,55,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
X,Kodambakkam,NK,2013-2014,RE,50000,500.00,yes,bb2014-15.pdf,56,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XI,Valasaravakkam,NL,2013-2014,RE,80000,800.00,yes,bb2014-15.pdf,57,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XII,Alandur,NM,2013-2014,RE,70000,700.00,yes,bb2014-15.pdf,58,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XIII,Adyar,NN,2013-2014,RE,10000,100.00,yes,bb2014-15.pdf,59,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XIV,Perungudi,NP,2013-2014,RE,80000,800.00,yes,bb2014-15.pdf,60,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XV,Sholinganallur,NQ,2013-2014,RE,50000,500.00,yes,bb2014-15.pdf,61,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
I,Thiruvottiyur,NA,2014-2015,BE,30000,300.00,yes,bb2014-15.pdf,47,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
II,Manali,NB,2014-2015,BE,35000,350.00,yes,bb2014-15.pdf,48,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
III,Madhavaram,NC,2014-2015,BE,20000,200.00,yes,bb2014-15.pdf,49,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
IV,Tondiarpet,ND,2014-2015,BE,20000,200.00,yes,bb2014-15.pdf,50,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
V,Royapuram,NE,2014-2015,BE,50000,500.00,yes,bb2014-15.pdf,51,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VI,Thiru-Vi-Ka Nagar,NF,2014-2015,BE,20000,200.00,yes,bb2014-15.pdf,52,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VII,Ambattur,NG,2014-2015,BE,100000,1000.00,yes,bb2014-15.pdf,53,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VIII,Anna Nagar,NH,2014-2015,BE,50000,500.00,yes,bb2014-15.pdf,54,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
