fy,ward,rs_crore,raw
2020-21,Vasna,65.92,„tu‚t-„tuÄtðe fu™t÷ zuð÷… fhðt™t ft{ : ybœtJtœ Bgw.ftuvtuohuNl <&t ytizt rJM<thbtk&e vmth &<e 16.46 rf.be. jkctR vife ybœtJtœ Bgw.ftuvtuohuN
2020-21,Chandlodiya,9.08,"2.3 ftu…tuohuþ™ Vkz nuX¤™t {wÏÞ ft{tu «dr<lt ftbtu vrùbÍtul, W•th vrμb Ítul, œrûtK vrùb Ítul <ubs bæg btk sYhegt< bwsc J»ttuo swle z[ulus jt"
2020-21,Chandlodiya,25.0,z[ulus «tusu¾x Ft<t îtht vrùbÍtulbtk ak÷Ctdtlt FwÕjt lt¤tbtk J»ttuo&e FwÕjtbtk Jnu<t z[uluslt vtKelu ck^ fhJt btxu ft¤edtb dhlt¤t &e «ctu^ h
2020-21,Vatva,20.0,"«dr<lt ftb vwJo Ítulbtk xeve Mfeb lk 107, 108 ltk Lgw bKeldh rJM<thbtk <ubs htbtuj vtujem atufe &e jtjduce mfoj mw^e Mxtubo Jtuxh z[ulus lux"
2021-22,Khadia,1.6,ytdtbe J»tolt BþÏg ftbtule gt>e : sbtjvwh Jtuzobtk htgFz Ft<u Yt.1.60 fhtuzlt Fauo ycol nuÕ& muLxh cltJJt sbtjÃþh Jtuzobt ytJuj muLx[j Mxtuh
2021-22,Chandkheda,4.8,sw>t-sw>t Jtuzolt z[ulus vtRv jtEl <&t Mx[tubo Jtuxh z[ulus jtRl ltkFJtlt ftb btxu Yt.4.80 fhtuzlt ftbtu «dr<btk Au. sw>t-sw>t Jtuzobtk ytJu
2021-22,Chandkheda,19.99,"ytdtbe J»tolt BþÏg ftbtule gt>e : sw>t-sw>t Jtuzolt hM<t hemhVum, Vwxvt& vuJ´d <&t vÚ&h vuJ´d btxu Yt.19.99 fhtuzlt ftblwk ytgtusl fhJtbtk y"
2021-22,Sardarnagar,1.13,"lhtuztJtuzobtk xe.ve Mfeb lk.121, Vt.Ãjtux lk.153, mtkœevle Mfwj mtbu lJt cl<t zeMx[eçgwNl MxuNllt fbtLz rJM<thbtk Yt.1.13 fhtuzlt Fauo luxJ"
2021-22,Ramol-Hathijan,0.99,…qðo Ítu™ «dr<lt ftbtule gt>e : rlftuj Jtuzobtk FwÕjt &guj lJt xe.ve. htuz dtuJ^ol dujuûte &e «bwF MJtbe mfoj &R h´d htuz mw^e lJe z[ulus jt
2021-22,Ramol-Hathijan,0.4,"ytdtbe J»tolt BþÏg ftbtule gt>e : Yt.0.40 fhtuzlt Fauo vqJo Ítulltk rlftuj Jtuzobtk xe.ve.-101, 102, 103, 109, 111 <&t 119btk swœt-swœt htuz"
2021-22,Behrampura,3.09,Œrûtý Ítu™ «dr<lt ftbtule gt>e : Yt.3.09 fhtuz lt Fauo cnuhtbvwhtbtk ytJuj vuRj zuvtule ytuVem vtmu ytJuj Ãjtuxbtkk fw<htytult FmefhK <&t hm
2021-22,Chandlodiya,1.75,"dtu<t Jtuzobtk ytJuj mtgLm mexe yuhegtbtk ytJuj suceyth htuz, yuzece. xtkfe &e bwhje^h vtxeo Ãjtux htuz, d{el buzv &e hed htuz <hVltu htuz <"
2021-22,Chandlodiya,0.65,"Yt. 0.65 fhtuzlt Fauo Dtxjtuzegt Jtuzobt ÇËrbldh mtumtgxe &e yvuûtt Vjux &R rJμtm Vjux mw^eltu hM<tu, ytub mhMJ<e Vjux &e b^wJ]kœ mtumtgxe m"
2021-22,Gomtipur,13.7,vqJo Ítulbtk 93 yub.yuj.ze. yum.ve.yum. cltJJtle ftbdehe Yt.13.70 fhtuzltk Fauo «dr<btk Au. vqJo Ítulbtk xe.ve.127 btk h´d htuz Wvh ymjtje m
2021-22,Behrampura,80.0,„tu‚t-„tuÄtðe fu™t÷ zuð÷… fhðt™t ft{ : ybœtJtœ Bgw.ftuvtuohuNl <&t ytizt rJM<thbtk&e vmth &<e 16.46 rf.be. jkctR vife ybœtJtœ Bgw.ftuvtuohuN
2021-22,Chandlodiya,103.0,™thtu÷ ™htuzt htuz W…h fuze÷t ƒúes Úte ftuÍe ntux÷ ËwÄe zÙu™us xÙLf ÷tE™ : yB\<lt bkswh &gujt ftbtubtk hnu<e ca<btk&e lthtuj lhtuzt htuz Wvh
2021-22,Chandlodiya,14.23,"œrûtKÍtul <&t vqJo Ítulbtk z[tVx xe.ve 127, 128btk <ubs h´d htuzle œrûtK ctswlt rJM<thbtk x[Lf buRl mw^e z[ulus luxJfo ltFJtle ftbdehe Yt.14"
2021-22,Ramol-Hathijan,20.0,"œrûtK vrùb Ítulbtk xeve 88,89 <ubs 201 btk z[ulus luxJfole ftbdehe Yt.20.00 ¾htuzLttk Fauo nt& ^huj Au. W•th vrùb Ítulbtk sd<vwh Athtuze xev"
2021-22,Vatva,2.28,3.1 MðŠý{ ßÞkr‚ {wÏÞ{kºte þnuhe rðftË Þtus™t nuX¤™t {wÏÞ ft{tu «dr<lt ftb : W•th vrμb Ítulbtk Jusjvwh Mxtubo Jtuxh vkv´d MxuNlbtk lJtu Wkztu
2021-22,Vastral,1.2,W•th ylu œrûtK vrùb Ítulbtk swœe-swœe søgtyu Mxtubo Jtuxh Vjtultk rlgbl btxu Yt.1.20 fhtuzltk Fauo dux bwfJtbtk ytJlth Au vqJoÍtullt JMºttj 
2022-23,Dariapur,2.82,{æÞ Ítu™ +     «dr<lt ftbtule gt>e : ^     Ntnvwh Jtuzobtk Yt.2.82 fhtuzlt Fauo œw^uµh buxhlexe ntublw swlw rcÕzed <tuzelu lJwk rcÕz´d cltJJ
2022-23,Shahibaug,1.5,^     Yt.1.50 fhtuzlt Fauo sbtjÃþh Jtuzobtk ytJuj muLx[j Mxtuhle JneJxe rcÕz´d Mx[uL&l´d <&t heltuJuNl fhJt ^     Ftrzgt Jtuzobtk 2.50 fhtuz
2022-23,Ranip,66.31,"+     ytdtbe J»tolt BþÏg ftbtule gt>e : ^     sw>t-sw>t Jtuzolt fwj 176 hM<t hemhVuEm, Vwxvt& vuJ´d <&t vÚ&h vuJ´d btxu Yt.66.31 fhtuzlt ftb"
2022-23,Saraspur-Rakhial,1.64,"W¥th Ítu™ +     «dr<lt ftbtule gt>e : ^     lhtuzt Jtuzobtk Nthœt mtumtgxe vtmult xe.ve. htuz, ht^t JÕjC mtumtgxe vtmult xe.ve htuz, mhMJ<e "
2022-23,Saijpur,2.02,^     misvwh Jtuzobtk ytJuj «ubldh rJM<thbtk bele z[ulus vkved MxuNl cltJJt <ubs meMxubuxef z[ulus jtRl <&t vwN´d bu&z &e z[ulus jtRl ltkFJt
2022-23,Saijpur,12.33,^     misvwh Jtuzobtk ytJuj dtgºteldh rJM<thbtk Mx[tub Jtuxh z[ulus vkved MxuNl cltJJt <ubs Mx[tub Jtuxh z[ulus luxJof ltkFJtltk ftb Yt.12.3
