edition,division_file,zone,dept_code,function_code,dp_code,account_head,v1,v2,v3,v4
2023-24,2023-24_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2023-24,2023-24_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-01-00,Storm Water Drains,6393,7000,8000,8000
2023-24,2023-24_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,8141,8000,120000,28000
2023-24,2023-24_C.txt,Zone-IX TEYNAMPET,NJ,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2023-24,2023-24_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-01-00,Storm Water Drains,3275,5000,5000,5000
2023-24,2023-24_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-54-03-00,Storm Water Drains-Desilting,7525,10000,40000,33000
2023-24,2023-24_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-01-00,Storm Water Drains,1185,5000,500,1000
2023-24,2023-24_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-03-00,Storm Water Drains-Desilting,385,2000,3200,0
2023-24,2023-24_N.txt,Zone-II MANALI,NB,20-21-07,230-54-01-00,Storm Water Drains,319,1000,1000,1000
2023-24,2023-24_N.txt,Zone-II MANALI,NB,20-21-07,230-54-03-00,Storm Water Drains-Desilting,127,1000,2250,0
2023-24,2023-24_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-01-00,Storm Water Drains,557,1500,500,1000
2023-24,2023-24_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1747,5000,5000,0
2023-24,2023-24_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2023-24,2023-24_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-01-00,Storm Water Drains,4811,5000,6700,5000
2023-24,2023-24_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-03-00,Storm Water Drains-Desilting,4385,5000,77500,18000
2023-24,2023-24_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-01-00,Storm Water Drains,7441,10000,11500,10000
2023-24,2023-24_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-03-00,Storm Water Drains-Desilting,3119,5000,55000,19000
2023-24,2023-24_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,309,1,1,1
2023-24,2023-24_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-01-00,Storm Water Drains,2649,3000,3000,10000
